Depot,Allocated Depot,OperatingDepotCode,FleetNo,RegNumber,VehicleType Equinox,VehicleGroupDescription,VehicleAllocation,Branding,Service Specific Vehicle Type,Vehicle Class(HxGN),,,,,,,
Consett (ex Stanley),Consett,CONS,641,NL63YBA,Optare Solo SR Solo SR OM904LA S2100 9 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,644,NL63XZR,Optare Solo SR Solo SR OM904LA S2100 9 5,Single Deck,Stage Carriage,,MBD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,645,NL63XZS,Optare Solo SR Solo SR OM904LA S2100 9 5,Single Deck,Stage Carriage,,MBD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,1065,EY67WVR,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Consett (ex Stanley),Consett,CONS,1102,EJ14NBF,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Consett (ex Stanley),Consett,CONS,1106,EK66CVL,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Consett (ex Stanley),Consett,CONS,1117,EX66YEB,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Consett (ex Stanley),Consett,CONS,1118,EX66YFT,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Consett (ex Stanley),Consett,CONS,5400,NK15ENN,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5401,NK15ENO,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5402,NK15ENP,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5403,NK15ENR,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5404,NK15ENT,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5405,NK15ENU,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5406,NK15ENV,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5407,NK15ENW,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5408,NK15ENX,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5409,NK15ENY,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5410,NK15EOA,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5411,NK15EOB,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5412,NK15EOC,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5413,NK15EOD,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5490,NK69FBB,ADL Enviro 200 Enviro 200 ISB4.5 D824.6 11.6 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5492,NK69FBD,ADL Enviro 200 Enviro 200 ISB4.5 D824.6 11.6 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5493,NK69FBE,ADL Enviro 200 Enviro 200 ISB4.5 D824.6 11.6 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5494,NK69FBF,ADL Enviro 200 Enviro 200 ISB4.5 D824.6 11.6 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5495,NK69FBG,ADL Enviro 200 Enviro 200 ISB4.5 D824.6 11.6 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,5497,NK69FBL,ADL Enviro 200 Enviro 200 ISB4.5 D824.6 11.6 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6043,NK12GCO,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6044,NK12GCU,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6045,NK12GCV,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6046,NK12GCX,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6047,NK12GCY,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6048,NK12GCZ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6157,LJ62KXZ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6177,SN57DFJ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
