service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ANUM:ANEO306:306:306MFARR0325:O:2,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:4,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:6,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:7,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:10,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:12,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:14,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:16,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:17,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:20,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:22,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:23,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:26,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:28,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:29,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:32,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:34,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:35,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:38,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:40,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:41,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:44,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:46,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:47,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:50,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:52,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:54,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:56,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:58,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:60,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:62,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:64,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:66,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:68,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:70,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:72,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:74,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:76,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:78,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:O:80,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:3,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:5,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:7,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:9,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:11,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:13,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:15,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:17,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:19,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:21,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:23,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:25,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:27,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:29,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:31,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:33,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:35,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:37,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:39,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:41,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:43,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:45,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:47,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:49,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:51,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:53,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:55,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:57,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:59,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:61,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:63,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:65,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:67,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:69,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:71,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:73,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:75,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:77,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:79,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306MFARR0325:I:81,1,1,1,1,1,0,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:2,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:4,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:6,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:7,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:9,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:12,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:14,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:15,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:18,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:20,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:21,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:24,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:26,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:27,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:30,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:32,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:33,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:36,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:38,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:39,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:42,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:44,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:45,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:48,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:50,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:51,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:54,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:56,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:57,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:60,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:62,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:64,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:66,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:68,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:70,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:O:72,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:2,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:4,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:5,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:7,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:8,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:10,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:12,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:14,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:16,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:18,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:20,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:22,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:24,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:26,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:28,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:30,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:32,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:34,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:36,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:38,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:40,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:42,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:44,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:46,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:48,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:50,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:52,0,0,0,0,0,1,0,20250831,20251223
ANUM:ANEO306:306:306SAARR0325:I:54,0,0,0,0,0,1,0,20250831,20251223
