service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GNE:GOAO001:1:001MF250511:O:1,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:2,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:3,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:4,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:5,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:6,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:7,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:8,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:9,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:10,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:11,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:12,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:13,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:14,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:15,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:16,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:17,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:18,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:19,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:20,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:21,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:22,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:23,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:24,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:25,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:26,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:27,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:28,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:29,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:30,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:31,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:32,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:33,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:34,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:35,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:36,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:37,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:38,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:39,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:40,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:41,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:42,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:43,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:44,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:45,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:46,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:47,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:O:48,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:1,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:2,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:3,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:4,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:5,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:6,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:7,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:8,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:9,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:10,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:11,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:12,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:13,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:14,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:15,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:16,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:17,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:18,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:19,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:20,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:21,1,1,1,1,1,0,0,20250511,20251223
GNE:GOAO001:1:001MF250511:I:22,1,1,1,1,1,0,0,20250511,20251223
