stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
4100023WASBS,,"Washington Galleries 'Stand B'",,54.899310192,-1.533964653,,,,,,
410000022772,,"Malvern Road",,54.892593063,-1.537550084,,,,,,
410000022770,,"Lambton Village Centre",,54.890659892,-1.539630099,,,,,,
410000027600,,"Wear Industrial Estate Makro",,54.885894638,-1.538982932,,,,,,
410000027602,,"Wear Industrial Estate Sedling Road",,54.884885481,-1.538277409,,,,,,
410000027611,,"Harraton Sycamore Avenue",,54.88270932,-1.537897015,,,,,,
410000027612,,"Vigo Lane-Firtree Avenue",,54.881590835,-1.534449598,,,,,,
410000028530,,"Harraton Shops",,54.881041497,-1.531806253,,,,,,
410000028528,,"Bonemill Lane-Biddick Lane",,54.878790708,-1.523790236,,,,,,
410000028526,,"Bonemill Lane-Community Centre",,54.878315296,-1.521722997,,,,,,
410000028524,,"Bonemill Lane-James Steel Park",,54.878860557,-1.518708545,,,,,,
410000028522,,"Bonemill Lane-Station Road",,54.880252104,-1.516104691,,,,,,
410000028542,,"Fatfield Bridge",,54.878992098,-1.513376724,,,,,,
410000028544,,"Station Road-Westerdale",,54.877236758,-1.514878423,,,,,,
410000028548,,"Station Road-Lambton Terrace",,54.877311509,-1.508877341,,,,,,
410000028550,,"Station Road-Gladstone Terrace",,54.876261616,-1.504822547,,,,,,
410000028001,,"Penshaw Bank Top",,54.874943671,-1.501176458,,,,,,
410000028113,,"Wensleydale Avenue-Station Road",,54.875042915,-1.499086973,,,,,,
410000028114,,"Wensleydale Avenue-Wharfdale",,54.875205999,-1.495064256,,,,,,
410000028115,,"Barnwell Avondale Avenue Shops",,54.874496269,-1.492953723,,,,,,
410000028116,,"Barnwell Estate Avondale Avenue",,54.87250997,-1.49073468,,,,,,
410000028039,,"Chester Road-Clydesdale Avenue",,54.873989267,-1.487770735,,,,,,
410000028040,,"Penshaw The Prospect",,54.875922607,-1.485938443,,,,,,
410000028041,,"Chester Road-Penshaw Monument",,54.882462369,-1.476955116,,,,,,
410000028042,,"Chester Road-Flinton Hill Farm",,54.886148747,-1.471170881,,,,,,
410000023925,,"Chester Road-Foxcover Road",,54.889317745,-1.462243341,,,,,,
410000024257,,"Hastings Hill Chester Road Roundabout",,54.890831896,-1.451169759,,,,,,
410000024258,,"Chester Road-Greenwood Road",,54.891264283,-1.445457821,,,,,,
410000024259,,"Grindon Mill Inn",,54.892885193,-1.438357267,,,,,,
410000024260,,"The Broadway-Glasbury Avenue",,54.894268023,-1.432319714,,,,,,
410000024261,,"The Broadway-Broadmayne Avenue",,54.895396502,-1.427673042,,,,,,
410000024262,,"Broadway The Wavendon",,54.896595727,-1.422822397,,,,,,
410000024263,,"Chester Road-Crematorium",,54.898178535,-1.417420177,,,,,,
410000024264,,"Chester Road-Priory Grove",,54.899418637,-1.413675434,,,,,,
410000024265,,"Chester Road-St Gabriels Avenue",,54.900408457,-1.410230401,,,,,,
410000024266,,"Sunderland Royal Hospital",,54.901353022,-1.406739082,,,,,,
410000024267,,"Chester Road-Croft Avenue",,54.901863639,-1.402739394,,,,,,
410000024268,,"Chester Road-The Precinct",,54.902719477,-1.397705206,,,,,,
410000024934,,"Chester Road-University",,54.903463816,-1.393779731,,,,,,
410000024938,,"City Campus Chester Road",,54.903981276,-1.391229927,,,,,,
4100024PARFS,,"Sunderland Interchange 'Stand F'",,54.902414418,-1.385234002,,,,,,
4100024PARJS,,"Sunderland Interchange 'Stand J'",,54.90251263,-1.385107748,,,,,,
4100024PARLS,,"Sunderland Interchange 'Stand L'",,54.902645208,-1.384669075,,,,,,
4100024PARMS,,"Sunderland Interchange 'Stand M'",,54.90278977,-1.38482282,,,,,,
4100024PARDS,,"Sunderland Interchange 'Stand D'",,54.90236941,-1.385219093,,,,,,
4100024PARCS,,"Sunderland Interchange 'Stand C'",,54.902314628,-1.385048386,,,,,,
410000024S39,,"Sunderland Green Terrace",,54.904283338,-1.3887457,,,,,,
410000024939,,"City Campus Chester Road",,54.903663561,-1.392388761,,,,,,
410000024245,,"Chester Road-University",,54.903215012,-1.394344888,,,,,,
410000024269,,"The Royalty",,54.902448131,-1.39554159,,,,,,
410000024489,,"Western Hill",,54.902279481,-1.397774149,,,,,,
410000024246,,"Chester Road-Wolseley Terrace",,54.901649894,-1.403132416,,,,,,
410000024247,,"Sunderland Royal Hospital",,54.901085577,-1.407179648,,,,,,
410000024248,,"Chester Road-Eastfield Street",,54.899080557,-1.414382045,,,,,,
410000024249,,"Chester Road-Crematorium",,54.89754006,-1.419206966,,,,,,
410000024250,,"Broadway The Wavendon",,54.896089006,-1.423983464,,,,,,
410000024251,,"The Broadway-Broadmayne Avenue",,54.895429361,-1.427017714,,,,,,
410000024252,,"The Broadway-Springwell Road",,54.894627327,-1.430365707,,,,,,
410000024253,,"The Broadway-Glenleigh Drive",,54.893912807,-1.433229007,,,,,,
410000024254,,"Grindon Mill Inn",,54.892651632,-1.438376105,,,,,,
410000024255,,"Chester Road-Gardiner Square",,54.890883643,-1.446725852,,,,,,
410000024256,,"Hastings Hill Chester Road Roundabout",,54.890581487,-1.451438192,,,,,,
410000023926,,"Chester Road-Foxcover Road",,54.888595602,-1.463546865,,,,,,
410000028026,,"Chester Road-Flinton Hill Farm",,54.8857279,-1.47151933,,,,,,
410000028027,,"Chester Road-Penshaw Monument",,54.881943061,-1.477398267,,,,,,
410000028028,,"Chester Road-Rose Street West",,54.875286711,-1.486445224,,,,,,
410000028029,,"Chester Road-Clydesdale Avenue",,54.87373766,-1.487773924,,,,,,
410000028117,,"Avondale Avenue",,54.872510623,-1.490890503,,,,,,
410000028118,,"Barnwell Avondale Avenue Shops",,54.874901289,-1.493104481,,,,,,
410000028119,,"Wensleydale Avenue-Wharfedale",,54.875127455,-1.495626263,,,,,,
410000028120,,"Wensleydale Avenue-Station Road",,54.874900616,-1.499447168,,,,,,
410000028549,,"Station Road-Penshaw Lodge",,54.876098661,-1.50452844,,,,,,
410000028547,,"Station Road-Chandlers Ford",,54.87746792,-1.509779368,,,,,,
410000028545,,"Station Road-Stonesdale",,54.876785778,-1.512218854,,,,,,
410000028543,,"Station Road-St Pauls Drive",,54.877604313,-1.514655821,,,,,,
410000028541,,"Fatfield Bridge",,54.879644263,-1.514662491,,,,,,
410000028523,,"Bonemill Lane-Station Road",,54.879794996,-1.516406296,,,,,,
410000028525,,"Bonemill Lane-James Steel Park",,54.878557623,-1.519366739,,,,,,
410000028527,,"Bonemill Lane-Biddick Lane",,54.878646565,-1.523698422,,,,,,
410000028529,,"Harraton Shops",,54.881399261,-1.533703655,,,,,,
410000027610,,"Harraton Sycamore Avenue",,54.882959625,-1.537551238,,,,,,
410000027601,,"Wear Industrial Estate Makro",,54.886300014,-1.539243308,,,,,,
410000022771,,"Lambton Village Centre",,54.890687322,-1.539754507,,,,,,
410000022773,,"Malvern Road",,54.893274339,-1.537105734,,,,,,
410000031H03,,"Houghton-le-Spring Hillside Way",,54.844880351,-1.470604777,,,,,,
410000031H05,,"Houghton-le-Spring Newbottle Street",,54.843552729,-1.471151593,,,,,,
410000031H06,,"Houghton-le-Spring Church (S-bound)",,54.842199195,-1.469876858,,,,,,
410000031016,,"Houghton-le-Spring Dairy Lane",,54.841280465,-1.475603465,,,,,,
410000031017,,"Dairy Lane-Willow Road",,54.841762418,-1.481109431,,,,,,
410000031018,,"North View Terrace-Greenbank House",,54.841958609,-1.489235128,,,,,,
410000031019,,"North View Terrace-The Folds",,54.84070376,-1.494311477,,,,,,
410000031020,,"Fence Houses Front Street",,54.843230605,-1.49904486,,,,,,
410000028046,,"Front Street-Station Avenue South",,54.844328738,-1.501662964,,,,,,
410000028047,,"Fence Houses Rail Crossing",,54.845753932,-1.505164848,,,,,,
13002009H,,"Fence Houses Memorial",,54.847448479,-1.510859555,,,,,,
13002323H,,"Gill Crescent",,54.848302237,-1.51310742,,,,,,
13002327H,,"Bournmoor Primrose Hill",,54.853331289,-1.519027934,,,,,,
13002328H,,"Bournmoor Rose Crescent",,54.854887971,-1.519539015,,,,,,
13002329B,,"St Barnabas Church",,54.858181412,-1.518378308,,,,,,
13002330B,,"Bournmoor Service Station",,54.859783406,-1.512221445,,,,,,
410000028034,,"Shiney Row Chester Road / Fernlea",,54.862443567,-1.503387128,,,,,,
410000028035,,"Shiney Row Chester Road / Grangewood Close",,54.865590859,-1.499500116,,,,,,
410000028036,,"Shiney Row Co-op",,54.867054853,-1.497129268,,,,,,
410000028023,,"Shiney Row Station Road / Helmsley Close",,54.869452116,-1.496616409,,,,,,
410000028024,,"Station Road-Manor House",,54.871319689,-1.500582295,,,,,,
410000028025,,"Penshaw Bank Top",,54.874315227,-1.501324468,,,,,,
410000028521,,"Station Road-Worm Hill Terrace",,54.880674385,-1.516084048,,,,,,
410000028505,,"Fallowfield Way / Fernlea Close",,54.885311007,-1.51373708,,,,,,
410000028503,,"Fallowfield Way-Farrier Close",,54.887079003,-1.513154607,,,,,,
410000028501,,"Washington Arts Centre",,54.886221335,-1.518932625,,,,,,
410000023127,,"Fatfield Road-The Poplars",,54.893185116,-1.518756138,,,,,,
410000023117,,"Fatfield Road-Oxclose Road",,54.896000908,-1.517256927,,,,,,
410000023115,,Parkway,,54.897945531,-1.518153659,,,,,,
410000023101,,"Glebe Bus Link",,54.899386797,-1.525886385,,,,,,
410000023103,,"Police Link Road-Leisure Centre",,54.898368786,-1.529858963,,,,,,
4100023WASDS,,"Washington Galleries 'Stand D'",,54.899597984,-1.534023705,,,,,,
410000023962,,"Washington Retail Park",,54.902225196,-1.532511908,,,,,,
410000023071,,"Albany Way-Windlass Lane",,54.907632726,-1.531919004,,,,,,
410000023036,,"Blue House Lane-Albany Way",,54.913077769,-1.529406861,,,,,,
4100023CONES,,"Concord Bus Station 'Stand E'",,54.913215517,-1.523243748,,,,,,
410000023033,,"Heworth Road-The Drive",,54.915209716,-1.525341725,,,,,,
410000023019,,"Heworth Road-The Pantiles",,54.919754849,-1.524835822,,,,,,
410000023013,,"Usworth College",,54.921597947,-1.525063748,,,,,,
410000023010,,"Stephenson Road-School",,54.924804121,-1.519986157,,,,,,
410000023001,,"Northumberland Way-Follingsby Roundabout",,54.933029184,-1.527519804,,,,,,
410000016965,,"White Rose Way",,54.937707809,-1.519801342,,,,,,
410000016966,,"Follingsby Amazon",,54.935554309,-1.518344283,,,,,,
410000015250,,"Heworth Golf Club",,54.940136353,-1.53424212,,,,,,
410000015251,,"Lingey Lane Montrose Drive",,54.942727052,-1.534930258,,,,,,
410000015093,,"Felling By-pass-Turfside",,54.94658238,-1.53733681,,,,,,
410000015094,,"Felling By-pass-Grange Close",,54.94768896,-1.54481791,,,,,,
410000015095,,"Felling By-pass-Field Lane",,54.949210995,-1.548126221,,,,,,
4100015HEWES,,"Heworth Metro 'Stand E'",,54.951431626,-1.555720727,,,,,,
410000016953,,"Northumberland Way-Follingsby Roundabout",,54.932991967,-1.527192506,,,,,,
410000023011,,"Stephenson Road-School",,54.924611472,-1.521267909,,,,,,
410000023012,,"Usworth College",,54.922010813,-1.52493407,,,,,,
410000023020,,"Heworth Road-Douglas Terrace",,54.919313561,-1.5245914,,,,,,
410000023030,,"Heworth Road-The Drive",,54.915873094,-1.524928328,,,,,,
4100023CONBS,,"Concord Bus Station 'Stand B'",,54.913268883,-1.523102728,,,,,,
410000023038,,"Albany Way-Borrowdale",,54.912605311,-1.530395076,,,,,,
410000023070,,"Albany Way-Windlass Lane",,54.907381479,-1.532015496,,,,,,
410000023961,,"Washington Retail Park",,54.902091665,-1.532840938,,,,,,
4100023WASAS,,"Washington Galleries 'Stand A'",,54.899184149,-1.533903734,,,,,,
410000023104,,"Police Link Road-Leisure Centre",,54.898431809,-1.529889415,,,,,,
410000023102,,"Glebe Bus Link",,54.899458807,-1.525916727,,,,,,
410000023114,,Parkway,,54.89769213,-1.517704492,,,,,,
410000023119,,"Fatfield Road-Fountains Close",,54.895300186,-1.517312078,,,,,,
410000023128,,"Fatfield Road-Biddick Villas",,54.892996225,-1.518711616,,,,,,
410000023130,,"Biddick Lane / School",,54.891370932,-1.519027198,,,,,,
410000028500,,"Washington Arts Centre",,54.886294826,-1.519337047,,,,,,
410000028502,,"Fallowfield Way-Footbridge",,54.88761183,-1.516063304,,,,,,
410000028504,,"Fallowfield Way-Farrier Close",,54.88705142,-1.512999053,,,,,,
410000028506,,"Fallowfield Way / Fernlea Close",,54.885621647,-1.512766879,,,,,,
410000028507,,"Fallowfield Way-Rivermead",,54.882453553,-1.516047153,,,,,,
410000028520,,"Station Road-Worm Hill Terrace",,54.880601317,-1.515788786,,,,,,
410000028002,,"Station Road-Redlands",,54.870730085,-1.499249496,,,,,,
410000028003,,"Shiney Row Station Road / Helmsley Close",,54.869550187,-1.496428204,,,,,,
410000028031,,"Shiney Row Co-op",,54.867312479,-1.496409335,,,,,,
410000028032,,"Shiney Row Chester Road / Hindsons Crescent",,54.864606564,-1.500525001,,,,,,
410000028033,,"Shiney Row Boundary Houses",,54.861826903,-1.504220385,,,,,,
13002330F,,"Bournmoor Service Station",,54.859675011,-1.51208255,,,,,,
13002329F,,"St Barnabas Church",,54.857691188,-1.519396672,,,,,,
13002328D,,"Bournmoor Rose Crescent",,54.854671074,-1.519230068,,,,,,
13002327D,,"Bournmoor Primrose Hill",,54.8527459,-1.518707811,,,,,,
13002324D,,"Fence Houses Fire Station",,54.84978622,-1.515659316,,,,,,
13002009D,,"Fence Houses Memorial",,54.847027394,-1.508949139,,,,,,
410000028044,,"Fence Houses Rail Crossing",,54.845907138,-1.505271984,,,,,,
410000028045,,"Front Street-Station Avenue North",,54.844273289,-1.501289915,,,,,,
410000031001,,"Front Street-Sedgeletch Road",,54.843192541,-1.498531463,,,,,,
410000031003,,"Fence Houses Front Street",,54.84117479,-1.495208707,,,,,,
410000031004,,"North View Terrace-Gladstone Street",,54.841199382,-1.492483477,,,,,,
410000031005,,"North View Terrace-The Graneries",,54.841818103,-1.490015463,,,,,,
410000031006,,"Dairy Lane-Willow Road",,54.841769541,-1.480673345,,,,,,
410000031007,,"Houghton-le-Spring Dairy Lane",,54.841384077,-1.476707669,,,,,,
