service_id,date,exception_type
GNE:GOAO001:1:001MF250511:O:1,20250526,2
GNE:GOAO001:1:001MF250511:O:1,20250825,2
GNE:GOAO001:1:001MF250511:O:2,20250526,2
GNE:GOAO001:1:001MF250511:O:2,20250825,2
GNE:GOAO001:1:001MF250511:O:3,20250526,2
GNE:GOAO001:1:001MF250511:O:3,20250825,2
GNE:GOAO001:1:001MF250511:O:4,20250526,2
GNE:GOAO001:1:001MF250511:O:4,20250825,2
GNE:GOAO001:1:001MF250511:O:5,20250526,2
GNE:GOAO001:1:001MF250511:O:5,20250825,2
GNE:GOAO001:1:001MF250511:O:6,20250526,2
GNE:GOAO001:1:001MF250511:O:6,20250825,2
GNE:GOAO001:1:001MF250511:O:7,20250526,2
GNE:GOAO001:1:001MF250511:O:7,20250825,2
GNE:GOAO001:1:001MF250511:O:8,20250526,2
GNE:GOAO001:1:001MF250511:O:8,20250825,2
GNE:GOAO001:1:001MF250511:O:9,20250526,2
GNE:GOAO001:1:001MF250511:O:9,20250825,2
GNE:GOAO001:1:001MF250511:O:10,20250526,2
GNE:GOAO001:1:001MF250511:O:10,20250825,2
GNE:GOAO001:1:001MF250511:O:11,20250526,2
GNE:GOAO001:1:001MF250511:O:11,20250825,2
GNE:GOAO001:1:001MF250511:O:12,20250526,2
GNE:GOAO001:1:001MF250511:O:12,20250825,2
GNE:GOAO001:1:001MF250511:O:13,20250526,2
GNE:GOAO001:1:001MF250511:O:13,20250825,2
GNE:GOAO001:1:001MF250511:O:14,20250526,2
GNE:GOAO001:1:001MF250511:O:14,20250825,2
GNE:GOAO001:1:001MF250511:O:15,20250526,2
GNE:GOAO001:1:001MF250511:O:15,20250825,2
GNE:GOAO001:1:001MF250511:O:16,20250526,2
GNE:GOAO001:1:001MF250511:O:16,20250825,2
GNE:GOAO001:1:001MF250511:O:17,20250526,2
GNE:GOAO001:1:001MF250511:O:17,20250825,2
GNE:GOAO001:1:001MF250511:O:18,20250526,2
GNE:GOAO001:1:001MF250511:O:18,20250825,2
