stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
410000041N17,,"North Shields West Percy Street 'Stop G'",,55.0093,-1.44932,,,,,,
410000041N18,,"Albion Road-Sidney Street",,55.009811,-1.451079,,,,,,
410000041020,,"Albion Road West-Newcastle Street",,55.008995,-1.453499,,,,,,
410000010011,,"Chirton Green-Obilisk",,55.00764,-1.459834,,,,,,
410000010012,,"Billy Mill Avenue / Lyncroft Road",,55.010377,-1.463034,,,,,,
410000010201,,"The Quadrant-Heaton Terrace",,55.010321,-1.466709,,,,,,
410000010039,,"The Quadrant / Central Avenue",,55.008886,-1.467494,,,,,,
410000010040,,"The Quadrant-Burt Avenue",,55.006994,-1.4663,,,,,,
410000010041,,"Wallsend Road-Lowdham Avenue",,55.004604,-1.470537,,,,,,
410000010042,,"Percy Main The Redburn (W-bound)",,55.0029956,-1.4744819,,,,,,
410000010043,,"High Flatworth Sita (W-bound)",,55.001059,-1.47976,,,,,,
410000010925,,"Ridley Avenue / Holderness Road",,54.999652,-1.489361,,,,,,
410000010103,,"Ridley Avenue-Monmouth Gardens",,55.002397,-1.492484,,,,,,
410000010104,,"Ridley Avenue-Kendal Gardens",,55.003685,-1.495235,,,,,,
410000010110,,"Windsor Drive The Mauritania",,55.002964,-1.499137,,,,,,
410000010091,,"Churchill Street / Windsor Drive",,55.000387,-1.503952,,,,,,
410000010027,,"Churchill Street Library (S-bound)",,54.997365,-1.503458,,,,,,
410000010958,,"Churchill Street-Tynemouth Road",,54.99602,-1.504131,,,,,,
410000010957,,"Tynemouth Road-Rosehill Road",,54.996121,-1.506834,,,,,,
410000010053,,"Church Bank-Lodge Terrace",,54.993411,-1.518949,,,,,,
410000010054,,"High Street East-Court Building",,54.992111,-1.526576,,,,,,
410000010W09,,"High Street East-Park Road",,54.991666,-1.530067,,,,,,
410000010W05,,"Wallsend Forum High Street West",,54.990477,-1.536473,,,,,,
410000009016,,"High Street West-Lilac Road",,54.989697,-1.541655,,,,,,
410000009017,,"Shields Road-Firtree Avenue",,54.989065,-1.545522,,,,,,
410000009321,,"Logan Road",,54.988312,-1.548469,,,,,,
410000009322,,"Appletree Gardens-Logan Road",,54.989755,-1.550047,,,,,,
410000009323,,"Walkergate Appletree Gardens / Ivy Road",,54.988181,-1.554503,,,,,,
410000009324,,"Appletree Gardens-Broomfield Avenue",,54.986851,-1.556908,,,,,,
410000009339,,"Walkergate Metro",,54.985788,-1.558701,,,,,,
410000009333,,"Fossway-Scrogg Road",,54.981956,-1.557712,,,,,,
410000009334,,"Fossway-Brough Park Way",,54.980416,-1.564057,,,,,,
410000009335,,"Fossway Newcastle Retail Park (W-bound)",,54.978857,-1.570433,,,,,,
410000015B06,,"Shields Road-Robinson Street",,54.977569,-1.577227,,,,,,
410000015B08,,"Shields Road-Headlam Street",,54.976841,-1.5825,,,,,,
410000015B10,,"Byker Shields Road Morrisons",,54.976278,-1.58624,,,,,,
410000015503,,"New Bridge Street-St Dominics",,54.974511,-1.597694,,,,,,
410000015501,,"Manors New Bridge Street",,54.974268,-1.603148,,,,,,
41000008NC34,,"Newcastle Market Street East",,54.973267,-1.610469,,,,,,
41000008NC46,,"Newcastle Market Street West 'Stop W'",,54.972675,-1.613537,,,,,,
41000008NC62,,"High Level Bridge North End",,54.969433,-1.611365,,,,,,
410000015G02,,"Wellington Street",,54.965363,-1.605954,,,,,,
4100015GHDES,,"Gateshead Interchange 'Stand E'",,54.961781,-1.604443,,,,,,
410000010906,,"Percy Main Norham Road / Morpeth Terrace",,55.003451,-1.47604,,,,,,
4100015GHDBS,,"Gateshead Interchange 'Stand B'",,54.962069,-1.604643,,,,,,
410000015058,,"Bensham Road-Alexandra Villas",,54.959287,-1.608559,,,,,,
410000015317,,"Bensham Road / Coatsworth Road",,54.958261,-1.61063,,,,,,
410000014002,,"Bensham Court Flats",,54.953942,-1.614685,,,,,,
410000014003,,"Bensham Road-Brighton Road",,54.953072,-1.615317,,,,,,
410000014004,,"Lobley Hill Road-Newbury Place",,54.950036,-1.618578,,,,,,
410000014200,,"Lobley Hill Road / Victoria Road",,54.948708,-1.621854,,,,,,
410000014005,,"Lobley Hill Road-Queensway",,54.94604,-1.625235,,,,,,
410000014006,,"Lobley Hill Road-Kingsway North",,54.943444,-1.625416,,,,,,
410000014019,,"Lobley Hill Road / Waggon Team",,54.941573,-1.62779,,,,,,
410000014020,,"Lobley Hill Coach Road",,54.940051,-1.632518,,,,,,
410000014021,,"Lobley Hill Bank Top Library",,54.939614,-1.636752,,,,,,
410000014022,,"Whickham Highway / Knightside Gardens",,54.941161,-1.646494,,,,,,
410000014023,,"Whickham Highway-The Highwayman",,54.942979,-1.650552,,,,,,
410000014024,,"Dunston Hill Hospital",,54.945024,-1.658715,,,,,,
410000014025,,"Whickham Highway-Coniston Avenue",,54.94531,-1.664442,,,,,,
410000014026,,"Front Street-Dockendale Lane",,54.944913,-1.670533,,,,,,
410000014028,,"Whickham Harry Clasper",,54.945581,-1.674852,,,,,,
410000014174,,"Rectory Lane-Millfield Road",,54.942955,-1.677605,,,,,,
410000014175,,"Whaggs Lane-Oakfield Road",,54.940098,-1.677643,,,,,,
410000014180,,"Oakfield Road-Oakfield Close",,54.939574,-1.680223,,,,,,
410000014181,,"Oakfield Road-Amberly Grove",,54.937965,-1.683233,,,,,,
410000014182,,"Oakfield Road-Bexley Place",,54.937013,-1.687064,,,,,,
410000013935,,"Oakfield Road The Fellsider",,54.937512,-1.692492,,,,,,
410000013926,,"Parkway-Rushsyde Close",,54.935264,-1.699126,,,,,,
410000013927,,"Parkway-Briarsyde Close",,54.938885,-1.699084,,,,,,
410000013929,,"Fellside Park Thistledon Avenue",,54.941185,-1.69493,,,,,,
410000014219,,"Parkway-Parkdale Rise",,54.94469,-1.688331,,,,,,
410000014032,,"Fellside Road-Runnymede Road",,54.942323,-1.686711,,,,,,
410000014033,,"Fellside Road / West Street",,54.944509,-1.684149,,,,,,
410000014191,,"Swalwell Estate North View",,54.947488,-1.682299,,,,,,
410000014192,,"North View-Milton Road",,54.94765,-1.678957,,,,,,
410000014193,,"Milton Road / Chaucer Road",,54.949182,-1.6806,,,,,,
410000014194,,"Ruskin Road",,54.951195,-1.684097,,,,,,
410000014956,,"Clavering Road-Napier Road",,54.952384,-1.681855,,,,,,
