route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
GNE:GOAO001:1,GNE,1,,,3,,FFFFFF,000000
GNE:GOAO002:2,GNE,2,,,3,,FFFFFF,000000
GNE:GOAO004:4,GNE,4,,,3,,FFFFFF,000000
GNE:GOAO006:6,GNE,6,,,3,,FFFFFF,000000
GNE:GOAO008:8,GNE,8,,,3,,FFFFFF,000000
GNE:GOAO008A:8A,GNE,8A,,,3,,FFFFFF,000000
GNE:GOAO009:9,GNE,9,,,3,,FFFFFF,000000
GNE:GOAO010:10,GNE,10,,,3,,FFFFFF,000000
GNE:GOAO010A:10A,GNE,10A,,,3,,FFFFFF,000000
GNE:GOAO010B:10B,GNE,10B,,,3,,FFFFFF,000000
GNE:GOAO012:12,GNE,12,,,3,,FFFFFF,000000
GNE:GOAO016:16,GNE,16,,,3,,FFFFFF,000000
GNE:GOAO016A:16A,GNE,16A,,,3,,FFFFFF,000000
GNE:GOAO016B:16B,GNE,16B,,,3,,FFFFFF,000000
GNE:GOAO020:20,GNE,20,,,3,,FFFFFF,000000
GNE:GOAO020A:20A,GNE,20A,,,3,,FFFFFF,000000
GNE:GOAO021:21,GNE,21,,,3,,FFFFFF,000000
GNE:GOAO022:22,GNE,22,,,3,,FFFFFF,000000
GNE:GOAO024:24,GNE,24,,,3,,FFFFFF,000000
GNE:GOAO025:25,GNE,25,,,3,,FFFFFF,000000
GNE:GOAO025A:25A,GNE,25A,,,3,,FFFFFF,000000
GNE:GOAO026:26,GNE,26,,,3,,FFFFFF,000000
GNE:GOAO027:27,GNE,27,,,3,,FFFFFF,000000
GNE:GOAO028:28,GNE,28,,,3,,FFFFFF,000000
GNE:GOAO028B:28B,GNE,28B,,,3,,FFFFFF,000000
GNE:GOAO029:29,GNE,29,,,3,,FFFFFF,000000
GNE:GOAO032:32,GNE,32,,,3,,FFFFFF,000000
GNE:GOAO033:33,GNE,33,,,3,,FFFFFF,000000
GNE:GOAO034:34,GNE,34,,,3,,FFFFFF,000000
GNE:GOAO035:35,GNE,35,,,3,,FFFFFF,000000
GNE:GOAO036:36,GNE,36,,,3,,FFFFFF,000000
GNE:GOAO047:47,GNE,47,,,3,,FFFFFF,000000
GNE:GOAO049:49,GNE,49,,,3,,FFFFFF,000000
GNE:GOAO049A:49A,GNE,49A,,,3,,FFFFFF,000000
GNE:GOAO050:50,GNE,50,,,3,,FFFFFF,000000
GNE:GOAO050S:50S,GNE,50S,,,3,,FFFFFF,000000
GNE:GOAO051:51,GNE,51,,,3,,FFFFFF,000000
GNE:GOAO052:52,GNE,52,,,3,,FFFFFF,000000
GNE:GOAO053:53,GNE,53,,,3,,FFFFFF,000000
GNE:GOAO054:54,GNE,54,,,3,,FFFFFF,000000
GNE:GONO054:54N,GNE,54N,,,3,,FFFFFF,000000
GNE:GOAO056:56,GNE,56,,,3,,FFFFFF,000000
GNE:GOAO057:57,GNE,57,,,3,,FFFFFF,000000
GNE:GOAO058:58,GNE,58,,,3,,FFFFFF,000000
GNE:GOAO060:60,GNE,60,,,3,,FFFFFF,000000
GNE:GOAO061:61,GNE,61,,,3,,FFFFFF,000000
GNE:GOAO062:62,GNE,62,,,3,,FFFFFF,000000
GNE:GOAO062A:62A,GNE,62A,,,3,,FFFFFF,000000
GNE:GOAO063:63,GNE,63,,,3,,FFFFFF,000000
